Spend Date,Channel,Campaign Name,Raw Spend,Net Spend
2026-06-22,Meta Ads,FB - Lookalike,103.81,93.6
2026-07-12,Google Ads,Display - Retargeting,139.46,134.17
2026-05-15,Meta Ads,FB - Prospecting,94.6,92.39
2026-07-29,Meta Ads,IG - Retargeting,73.32,70.28
2026-05-24,Meta Ads,FB - Lookalike,95.45,88.42
2026-05-15,Meta Ads,IG - Retargeting,74.55,69.22
2026-06-05,Google Ads,Display - Retargeting,114.17,105.24
2026-07-03,Meta Ads,IG - Catalog Sales,104.07,96.92
2026-05-08,Google Ads,Search - Non Brand,137.71,129.23
2026-06-26,Meta Ads,FB - Prospecting,131.41,127.81
2026-06-07,Google Ads,Shopping - Bestsellers,125.6,115.15
2026-06-15,Google Ads,Display - Retargeting,130.83,128.65
2026-07-29,Meta Ads,FB - Lookalike,60.19,55.97
2026-06-23,Google Ads,Shopping - Bestsellers,188.59,173.23
2026-06-17,Meta Ads,IG - Retargeting,86.8,85.91
2026-07-14,Google Ads,Shopping - Bestsellers,169.61,162.7
2026-05-16,Meta Ads,FB - Lookalike,135.45,132.48
2026-07-01,Meta Ads,FB - Prospecting,100.88,91.32
2026-06-02,Google Ads,Shopping - Bestsellers,86.12,81.07
2026-05-14,Google Ads,Display - Retargeting,204.51,193.12
2026-07-11,Google Ads,Search - Non Brand,165.95,149.95
2026-06-11,Google Ads,Search - Brand,164.79,158.18
2026-07-08,Meta Ads,FB - Prospecting,74.23,73.38
2026-07-01,Google Ads,Search - Brand,156.24,149.16
2026-06-19,Google Ads,Search - Brand,97.22,93.13
2026-06-09,Meta Ads,IG - Catalog Sales,163.25,152.98
2026-07-04,Meta Ads,FB - Lookalike,161.46,147.62
2026-07-27,Google Ads,Display - Retargeting,196.79,178.8
2026-05-06,Meta Ads,IG - Catalog Sales,111.03,105.01
2026-05-20,Meta Ads,FB - Lookalike,22.76,20.84
2026-07-21,Google Ads,Shopping - Bestsellers,191.46,176.03
2026-07-21,Meta Ads,FB - Prospecting,169.0,153.72
2026-05-30,Meta Ads,FB - Prospecting,116.56,109.26
2026-07-12,Google Ads,Shopping - Bestsellers,112.44,106.94
2026-07-19,Google Ads,Search - Brand,188.64,173.27
2026-05-28,Meta Ads,FB - Prospecting,184.6,175.85
2026-06-14,Google Ads,Display - Retargeting,206.1,203.06
2026-07-12,Meta Ads,FB - Lookalike,161.98,146.24
2026-05-25,Meta Ads,FB - Prospecting,149.25,139.04
2026-05-12,Google Ads,Display - Retargeting,161.14,156.34
2026-05-21,Google Ads,Display - Retargeting,96.16,93.96
2026-07-03,meta_ads,IG - Retargeting,126.71,119.69
2026-06-09,Meta Ads,FB - Lookalike,135.89,128.07
2026-05-07,Meta Ads,FB - Lookalike,122.91,119.55
2026-06-29,Meta Ads,FB - Lookalike,107.39,100.08
2026-07-06,Google Ads,Search - Non Brand,209.15,194.67
2026-05-03,Google Ads,Search - Brand,127.48,122.58
2026-06-30,Google Ads,Display - Retargeting,158.78,152.61
2026-05-20,Meta Ads,IG - Retargeting,143.24,130.18
2026-06-18,Google Ads,Search - Brand,157.43,144.59
2026-05-06,Google Ads,Display - Retargeting,125.81,119.58
2026-06-29,Google Ads,Search - Brand,153.09,150.72
2026-06-25,Meta Ads,FB - Lookalike,141.23,137.27
2026-07-05,Meta Ads,IG - Retargeting,121.39,112.09
2026-06-18,Meta Ads,FB - Lookalike,157.38,143.84
2026-06-07,Google Ads,Display - Retargeting,131.73,121.94
2026-06-08,Google Ads,Display - Retargeting,178.18,164.85
2026-07-17,Meta Ads,IG - Retargeting,154.82,141.16
2026-05-19,Google Ads,Shopping - Bestsellers,168.94,158.26
2026-07-24,Meta Ads,IG - Catalog Sales,111.58,103.0
2026-05-25,Meta Ads,IG - Catalog Sales,103.09,93.72
2026-07-14,Meta Ads,FB - Prospecting,171.83,158.18
2026-07-23,Meta Ads,FB - Lookalike,149.45,141.49
2026-06-06,Google Ads,Display - Retargeting,117.7,113.83
2026-06-29,Google Ads,Search - Non Brand,189.96,184.62
2026-06-28,Meta Ads,FB - Lookalike,128.01,117.89
2026-07-23,Meta Ads,FB - Prospecting,169.26,161.77
2026-07-16,Google Ads,Search - Brand,174.46,171.34
2026-05-13,Google Ads,Display - Retargeting,179.52,173.63
2026-06-29,Google Ads,Display - Retargeting,202.85,194.02
2026-06-12,Meta Ads,FB - Prospecting,138.98,136.26
2026-07-11,Meta Ads,FB - Lookalike,113.37,105.36
2026-06-08,Google Ads,Search - Non Brand,178.33,171.23
2026-06-13,Meta Ads,FB - Lookalike,142.71,137.69
2026-07-23,Google Ads,Search - Brand,209.79,196.15
2026-07-16,Google Ads,Search - Non Brand,90.89,83.52
2026-06-04,Meta Ads,IG - Catalog Sales,161.01,155.74
2026-07-25,Google Ads,Display - Retargeting,91.11,84.23
2026-06-10,Google Ads,Display - Retargeting,127.35,116.69
2026-05-18,Meta Ads,FB - Prospecting,121.37,115.14
2026-06-10,Meta Ads,IG - Retargeting,115.33,112.53
2026-05-17,Google Ads,Search - Brand,169.31,164.54
2026-07-17,Google Ads,Search - Non Brand,43.18,41.17
2026-07-19,Google Ads,Search - Non Brand,158.95,144.66
2026-06-23,Google Ads,Search - Brand,157.34,145.49
2026-07-21,Meta Ads,FB - Lookalike,118.08,115.53
2026-07-09,Meta Ads,IG - Catalog Sales,141.27,133.27
2026-07-02,google_ads,Search - Brand,129.29,118.97
2026-05-26,Google Ads,Shopping - Bestsellers,132.34,120.12
2026-06-16,Meta Ads,FB - Prospecting,81.3,78.57
2026-05-24,Meta Ads,IG - Retargeting,116.1,110.48
2026-07-13,Meta Ads,FB - Lookalike,172.08,156.14
2026-07-18,Meta Ads,FB - Lookalike,110.35,107.7
2026-07-15,Meta Ads,FB - Lookalike,152.36,149.47
2026-05-17,Google Ads,Search - Non Brand,294.48,282.26
2026-07-22,Google Ads,Display - Retargeting,103.96,100.7
2026-05-16,Google Ads,Display - Retargeting,107.14,103.57
2026-05-02,Google Ads,Search - Non Brand,78.25,72.48
2026-07-25,google_ads,Shopping - Bestsellers,184.44,177.88
2026-05-21,Meta Ads,IG - Retargeting,133.86,128.21
2026-06-06,Meta Ads,FB - Lookalike,147.79,137.75
2026-07-26,Meta Ads,FB - Prospecting,123.67,120.42
2026-07-15,Meta Ads,IG - Retargeting,151.41,146.15
2026-05-13,Meta Ads,FB - Lookalike,112.64,104.06
2026-07-08,Meta Ads,IG - Retargeting,99.24,92.97
2026-06-14,Google Ads,Search - Non Brand,220.38,205.2
2026-06-16,Meta Ads,IG - Catalog Sales,74.91,68.61
2026-05-08,google_ads,Display - Retargeting,159.79,151.16
2026-05-07,Google Ads,Search - Brand,141.76,132.82
2026-07-22,Google Ads,Search - Brand,210.51,206.1
2026-07-17,Google Ads,Display - Retargeting,108.01,99.72
2026-05-14,Meta Ads,FB - Lookalike,87.87,86.52
2026-07-02,meta_ads,FB - Lookalike,128.58,123.3
2026-07-19,Meta Ads,IG - Catalog Sales,130.39,123.4
2026-05-17,Meta Ads,FB - Lookalike,189.44,175.38
2026-05-31,Google Ads,Search - Non Brand,173.36,158.04
2026-07-25,google_ads,Shopping - Bestsellers,184.44,177.88
2026-05-10,Meta Ads,IG - Retargeting,103.01,98.19
2026-05-29,Google Ads,Search - Non Brand,130.28,118.16
2026-06-17,Meta Ads,IG - Catalog Sales,121.78,117.82
2026-05-19,Meta Ads,IG - Catalog Sales,147.54,142.58
2026-07-14,Meta Ads,IG - Catalog Sales,123.6,118.81
2026-06-10,Google Ads,Search - Brand,171.64,167.31
2026-06-28,Google Ads,Shopping - Bestsellers,0.0,0.0
2026-07-09,Google Ads,Shopping - Bestsellers,162.85,157.86
2026-05-01,Meta Ads,FB - Lookalike,105.92,97.06
2026-06-24,Meta Ads,FB - Lookalike,134.8,130.21
2026-06-09,Google Ads,Search - Non Brand,87.69,82.72
2026-05-03,Google Ads,Shopping - Bestsellers,149.49,135.0
2026-05-25,Google Ads,Search - Brand,193.43,187.87
2026-06-25,google_ads,Display - Retargeting,123.63,112.1
2026-06-22,Meta Ads,IG - Retargeting,114.48,108.45
2026-06-05,Google Ads,Shopping - Bestsellers,145.2,137.64
2026-06-11,Google Ads,Shopping - Bestsellers,182.67,170.85
2026-05-01,Google Ads,Search - Brand,168.63,162.88
2026-05-08,meta_ads,FB - Prospecting,77.54,70.62
2026-07-26,Google Ads,Search - Non Brand,166.52,157.11
2026-07-26,Google Ads,Search - Brand,90.26,89.06
2026-07-07,Meta Ads,IG - Catalog Sales,141.25,135.78
2026-05-13,Google Ads,Shopping - Bestsellers,113.45,105.43
2026-07-16,Meta Ads,FB - Lookalike,119.23,109.96
2026-06-27,Meta Ads,IG - Retargeting,140.45,137.08
2026-06-19,Meta Ads,FB - Prospecting,141.65,127.74
2026-06-12,Meta Ads,IG - Retargeting,188.12,182.66
2026-06-27,Meta Ads,IG - Catalog Sales,104.52,99.68
2026-07-20,Meta Ads,IG - Catalog Sales,134.87,129.68
2026-06-03,Meta Ads,IG - Catalog Sales,121.06,117.66
2026-05-13,Google Ads,Search - Non Brand,167.77,154.38
2026-07-10,Meta Ads,IG - Retargeting,63.31,57.39
2026-07-06,Google Ads,Shopping - Bestsellers,172.8,157.11
2026-05-07,Meta Ads,IG - Catalog Sales,149.06,146.18
2026-06-14,Google Ads,Search - Brand,165.5,152.7
2026-07-27,Google Ads,Shopping - Bestsellers,138.94,133.39
2026-06-02,Meta Ads,IG - Retargeting,117.33,108.13
2026-07-03,Google Ads,Display - Retargeting,217.3,199.88
2026-05-02,Google Ads,Shopping - Bestsellers,112.02,103.76
2026-07-05,Google Ads,Search - Brand,143.73,133.69
2026-06-08,Google Ads,Shopping - Bestsellers,153.72,146.26
2026-05-28,Google Ads,Search - Non Brand,150.47,142.92
2026-06-09,Google Ads,Display - Retargeting,151.78,138.44
2026-06-07,Meta Ads,FB - Prospecting,121.46,113.8
2026-06-16,Meta Ads,IG - Retargeting,81.15,76.34
2026-05-04,Google Ads,Shopping - Bestsellers,145.66,136.19
2026-07-09,Google Ads,Search - Brand,103.07,100.78
2026-05-24,Google Ads,Search - Non Brand,180.51,177.12
2026-05-30,Meta Ads,IG - Catalog Sales,121.41,119.59
2026-06-17,Google Ads,Shopping - Bestsellers,219.34,197.66
2026-05-12,Google Ads,Search - Non Brand,179.32,167.02
2026-05-02,Google Ads,Display - Retargeting,161.78,150.94
2026-07-05,Google Ads,Search - Non Brand,155.5,150.36
2026-07-27,Meta Ads,IG - Retargeting,184.35,168.7
2026-06-18,Google Ads,Display - Retargeting,0.0,0.0
2026-06-03,Meta Ads,FB - Lookalike,178.94,161.68
2026-05-05,Meta Ads,FB - Lookalike,105.62,98.01
2026-05-20,Google Ads,Search - Non Brand,188.72,174.06
2026-05-11,Google Ads,Search - Brand,115.52,113.71
2026-06-23,Meta Ads,IG - Catalog Sales,81.61,73.79
2026-05-31,Google Ads,Display - Retargeting,169.29,162.6
2026-06-01,Google Ads,Display - Retargeting,201.32,185.05
2026-07-22,Meta Ads,FB - Lookalike,114.81,106.68
